id;date_of_origin;presence_marked;instructor_id
368;2026-06-01 12:00:00;1;739
369;2023-03-07 12:00:00;1;130
370;2022-08-06 12:00:00;1;218
371;2024-12-07 12:00:00;1;459
372;2025-12-01 12:00:00;1;386
373;2022-10-11 12:00:00;1;378
374;2023-04-11 12:00:00;1;359
375;2024-08-11 12:00:00;1;1571
376;2021-11-10 12:00:00;1;57
377;2022-06-10 12:00:00;1;746
378;2024-11-11 12:00:00;1;58
379;2023-04-07 12:00:00;1;235
380;2022-07-06 12:00:00;1;298
381;2023-10-07 12:00:00;1;359
382;2023-06-02 12:00:00;1;32
383;2022-12-04 12:00:00;1;24
384;2023-04-04 12:00:00;1;248
385;2022-09-11 12:00:00;1;459
386;2023-09-11 12:00:00;1;304
387;2025-04-11 12:00:00;1;739
388;2023-01-01 12:00:00;1;196
389;2023-11-01 12:00:00;1;196
390;2024-08-01 12:00:00;1;402
391;2024-12-01 12:00:00;1;402
392;2023-03-07 12:00:00;1;714
393;2022-06-06 12:00:00;1;700
394;2025-02-06 12:00:00;1;764
395;2022-05-06 12:00:00;1;402
396;2023-04-05 12:00:00;1;377
397;2023-10-07 12:00:00;1;243
398;2023-02-10 12:00:00;1;115
399;2022-10-10 12:00:00;1;748
400;2024-10-10 12:00:00;1;756
401;2023-04-07 12:00:00;1;242
402;2023-06-07 12:00:00;1;130
403;2023-02-08 12:00:00;1;459
404;2023-11-05 12:00:00;1;359
405;2023-01-07 12:00:00;1;694
406;2022-05-06 12:00:00;1;298
407;2023-12-04 12:00:00;1;243
408;2025-06-05 12:00:00;1;694
409;2024-06-05 12:00:00;1;764
410;2021-05-07 12:00:00;1;242
411;2024-04-06 12:00:00;1;227
412;2024-11-07 12:00:00;1;748
413;2021-06-09 12:00:00;1;291
414;2022-12-09 12:00:00;1;130
415;2023-12-09 12:00:00;1;359
416;2023-02-03 12:00:00;1;722
417;2023-02-03 12:00:00;1;675
418;2023-08-03 12:00:00;1;722
419;2026-01-03 12:00:00;1;1441
420;2024-01-05 12:00:00;1;477
421;2023-03-06 12:00:00;1;730
422;2021-07-07 12:00:00;1;218
423;2023-06-07 12:00:00;1;694
424;2025-03-06 12:00:00;1;748
425;2022-03-06 12:00:00;1;218
426;2023-05-04 12:00:00;1;700
427;2024-09-05 12:00:00;1;748
428;2021-08-07 12:00:00;1;218
429;2023-12-05 12:00:00;1;700
430;2023-09-07 12:00:00;1;700
431;2023-04-03 12:00:00;1;764
432;2023-09-03 12:00:00;1;764
433;2023-07-02 12:00:00;1;722
434;2024-03-02 12:00:00;1;675
435;2021-09-08 12:00:00;1;344
436;2023-10-08 12:00:00;1;393
437;2024-10-08 12:00:00;1;535
438;2021-07-01 12:00:00;1;90
439;2023-02-03 12:00:00;1;738
440;2024-12-01 12:00:00;1;675
441;2026-03-03 12:00:00;1;722
442;2023-03-09 12:00:00;1;402
443;2024-12-09 12:00:00;1;705
444;2023-02-09 12:00:00;1;477
445;2023-11-09 12:00:00;1;763
446;2021-07-07 12:00:00;1;291
447;2022-12-07 12:00:00;1;378
448;2024-12-07 12:00:00;1;243
449;2024-11-05 12:00:00;1;738
450;2024-07-05 12:00:00;1;1441
451;2022-07-06 12:00:00;1;23
452;2021-12-10 12:00:00;1;378
453;2023-08-11 12:00:00;1;367
454;2023-04-11 12:00:00;1;401
455;2021-10-08 12:00:00;1;344
456;2022-08-08 12:00:00;1;459
457;2025-07-08 12:00:00;1;785
458;2024-07-05 12:00:00;1;227
459;2023-03-04 12:00:00;1;739
460;2025-05-03 12:00:00;1;932
461;2023-02-09 12:00:00;1;402
462;2024-03-09 12:00:00;1;805
463;2025-06-01 12:00:00;1;477
464;2025-03-01 12:00:00;1;763
465;2023-10-09 12:00:00;1;477
466;2025-02-09 12:00:00;1;243
467;2021-03-10 12:00:00;1;196
468;2023-07-09 12:00:00;1;748
469;2024-04-10 12:00:00;1;433
470;2022-10-09 12:00:00;1;298
471;2022-11-10 12:00:00;1;359
472;2024-10-10 12:00:00;1;739
473;2023-05-10 12:00:00;1;115
474;2023-04-10 12:00:00;1;243
475;2025-05-10 12:00:00;1;705
476;2023-03-09 12:00:00;1;477
477;2025-01-09 12:00:00;1;535
478;2024-05-04 12:00:00;1;227
479;2023-02-04 12:00:00;1;694
480;2024-10-03 12:00:00;1;359
481;2022-08-11 12:00:00;1;154
482;2023-10-11 12:00:00;1;459
483;2023-11-12 12:00:00;1;763
484;2022-05-06 12:00:00;1;235
485;2023-07-04 12:00:00;1;402
486;2023-02-07 12:00:00;1;378
487;2021-02-08 12:00:00;1;298
488;2024-04-08 12:00:00;1;130
489;2023-08-08 12:00:00;1;694
490;2022-05-06 12:00:00;1;714
491;2022-10-04 12:00:00;1;218
492;2024-04-05 12:00:00;1;1571
493;2023-04-11 12:00:00;1;243
494;2024-04-11 12:00:00;1;304
495;2023-10-12 12:00:00;1;840
496;2021-10-08 12:00:00;1;291
497;2022-07-08 12:00:00;1;730
498;2025-05-08 12:00:00;1;359
499;2021-08-07 12:00:00;1;402
500;2022-03-07 12:00:00;1;298
501;2025-07-07 12:00:00;1;433
502;2021-08-12 12:00:00;1;402
503;2022-05-12 12:00:00;1;243
504;2023-06-11 12:00:00;1;694
505;2023-10-09 12:00:00;1;402
506;2025-01-09 12:00:00;1;700
507;2021-04-10 12:00:00;1;535
508;2023-09-09 12:00:00;1;477
509;2024-05-10 12:00:00;1;785
510;2022-09-09 12:00:00;1;242
511;2023-08-09 12:00:00;1;393
512;2024-05-10 12:00:00;1;684
513;2024-06-05 12:00:00;1;738
514;2022-07-10 12:00:00;1;377
515;2022-11-10 12:00:00;1;700
516;2024-03-10 12:00:00;1;805
517;2022-04-06 12:00:00;1;291
518;2023-06-04 12:00:00;1;393
519;2025-01-06 12:00:00;1;433
520;2024-07-05 12:00:00;1;243
521;2023-07-06 12:00:00;1;738
522;2024-08-04 12:00:00;1;477
523;2024-09-04 12:00:00;1;303
524;2023-05-06 12:00:00;1;738
525;2021-08-07 12:00:00;1;243
526;2022-08-05 12:00:00;1;714
527;2025-01-07 12:00:00;1;739
528;2024-01-04 12:00:00;1;730
529;2025-09-04 12:00:00;1;1571
530;2025-03-03 12:00:00;1;738
531;2026-06-04 12:00:00;1;675
532;2025-03-03 12:00:00;1;739
533;2024-06-04 12:00:00;1;738
534;2025-11-04 12:00:00;1;722
535;2024-05-05 12:00:00;1;738
536;2025-01-05 12:00:00;1;730
537;2024-07-04 12:00:00;1;730
538;2024-07-04 12:00:00;1;377
539;2025-07-02 12:00:00;1;684
540;2024-10-12 12:00:00;1;683
541;2024-11-12 12:00:00;1;683
542;2025-01-12 12:00:00;1;402
543;2024-03-04 12:00:00;1;738
544;2025-06-04 12:00:00;1;1441
