id;course_date;activity_type;instructor_id;place;presence_marked;cat2;cat3;duration;exam_date;start_time;end_time;time_of_day;examinator_id;training_id
123;2022-02-21 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
124;2022-11-24 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
125;2022-09-26 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
126;2022-06-07 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
127;2022-12-07 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
128;2021-11-29 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
129;2022-06-06 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
130;2022-08-16 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
131;2010-04-26 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
132;2011-01-26 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
133;2011-01-27 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
134;2010-08-05 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
135;2016-11-14 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
136;2011-01-03 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
137;2023-08-28 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
138;2011-01-21 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
139;2010-04-15 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
140;2011-01-07 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
141;2010-10-14 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
142;2022-03-25 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
143;2017-01-19 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
144;2022-04-04 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
145;2011-01-25 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
146;2022-05-16 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
147;2022-02-28 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
148;2022-03-21 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
149;2019-06-26 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
150;2022-06-27 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
151;2022-02-14 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
152;2019-06-25 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
153;2016-07-08 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
154;2013-06-19 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
155;2021-04-25 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
156;2016-05-23 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
157;2013-04-25 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
158;2010-05-07 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
159;2022-05-09 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
160;2023-10-25 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
161;2016-09-30 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
162;2022-03-14 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
163;2022-06-28 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
164;2022-06-10 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
165;2022-08-22 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
166;2023-08-22 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
167;2022-09-14 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
168;2011-10-26 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
169;2019-06-17 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
170;2022-09-27 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
171;2022-08-30 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
172;2019-05-06 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
173;2019-10-22 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
174;2019-04-19 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
175;2022-09-19 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
176;2023-12-05 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
177;2019-11-14 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
178;2022-06-20 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
179;2023-10-05 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
180;2023-10-23 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
181;2022-04-11 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
182;2023-05-22 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
183;2024-04-08 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
184;2024-02-14 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
185;2022-09-30 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
186;2022-09-09 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
187;2023-11-14 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
188;2024-03-01 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
189;0012-05-07 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
190;2018-05-14 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
191;2012-05-07 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
192;2021-03-31 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
193;2018-05-21 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
194;2018-05-18 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
195;2021-03-26 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
196;2021-04-19 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
197;2024-04-26 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
198;2024-02-20 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
199;2021-03-08 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
200;2024-04-30 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
201;2021-04-20 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
202;2024-04-15 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
203;2024-03-25 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
204;2021-03-15 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
205;2021-04-16 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
206;2018-07-02 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
207;2018-09-13 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
208;2024-02-23 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
209;2024-03-18 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
210;2023-12-11 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
211;2022-01-18 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
212;2019-11-21 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
213;2019-11-19 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
214;2022-02-22 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
215;2019-01-29 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
216;2022-08-01 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
217;2023-12-07 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
218;2024-02-16 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
219;2023-11-23 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
220;2022-07-13 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
221;2023-07-10 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
222;2018-12-11 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
223;2022-02-02 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
224;2023-08-23 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
225;2022-02-15 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
226;2019-03-19 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
227;2013-04-10 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
228;2022-08-29 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
229;2013-09-12 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
230;2020-10-19 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
231;2022-10-07 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
232;2022-10-26 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
233;2023-07-17 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
234;2024-01-15 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
235;2023-03-08 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
236;2020-03-05 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
237;2023-02-10 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
238;2023-02-20 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
239;2022-11-10 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
240;2023-02-14 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
241;2023-02-16 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
242;2017-01-26 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
243;2020-01-27 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
244;2020-01-21 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
245;2024-04-19 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
246;2024-03-29 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
247;2020-10-01 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
248;2020-08-05 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
249;2020-08-06 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
250;2023-08-15 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
251;2020-09-02 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
252;2023-10-19 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
253;2023-09-13 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
254;2020-07-20 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
255;2023-08-07 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
256;2023-10-20 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
257;2023-09-11 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
258;2021-09-21 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
259;2020-08-07 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
260;2022-02-08 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
261;2022-02-10 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
262;2022-02-16 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
263;2022-07-19 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
264;2023-07-21 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
265;2023-07-18 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
266;2021-12-10 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
267;2019-03-28 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
268;2023-07-20 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
269;2021-09-27 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
270;2022-07-25 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
271;2022-07-27 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
272;2024-03-28 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
273;2021-11-08 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
