id;dateOfOrigin;presenceMarked;instructorId
476;2022-04-04 12:00:00;1;298
477;2023-01-16 12:00:00;1;675
478;2023-03-16 12:00:00;1;146
479;2021-07-08 12:00:00;1;218
480;2023-04-16 12:00:00;1;57
481;2021-07-13 12:00:00;1;714
482;2023-11-19 12:00:00;1;932
483;2021-07-11 12:00:00;1;57
484;2023-05-26 12:00:00;1;805
485;2024-01-05 12:00:00;1;738
486;2022-10-10 12:00:00;1;393
487;2021-07-16 12:00:00;1;6954
488;2021-06-26 12:00:00;1;66
489;2022-11-11 12:00:00;1;78
490;2022-09-22 12:00:00;1;477
491;2022-06-06 12:00:00;1;89
492;2023-12-22 12:00:00;1;683
493;2022-05-10 12:00:00;1;378
494;2023-05-01 12:00:00;1;401
495;2021-06-23 12:00:00;1;80
496;2022-05-24 12:00:00;1;108
497;2022-07-23 12:00:00;1;700
498;2022-11-22 12:00:00;1;72
499;2022-05-08 12:00:00;1;700
500;2023-05-08 12:00:00;1;738
501;2022-03-21 12:00:00;1;700
502;2022-03-22 12:00:00;1;747
503;2023-07-23 12:00:00;1;748
504;2022-06-03 12:00:00;1;78
505;2022-01-29 12:00:00;1;108
506;2022-12-16 12:00:00;1;377
507;2023-10-26 12:00:00;1;764
508;2023-08-18 12:00:00;1;1571
509;2023-02-27 12:00:00;1;700
510;2023-04-01 12:00:00;1;694
511;2023-02-02 12:00:00;1;359
512;2022-04-24 12:00:00;1;243
513;2021-10-11 12:00:00;1;694
514;2024-03-25 12:00:00;1;684
515;2023-07-17 12:00:00;1;535
516;2022-08-16 12:00:00;1;748
517;2023-10-29 12:00:00;1;705
518;2023-05-23 12:00:00;1;124
519;2023-05-26 12:00:00;1;402
520;2022-09-23 12:00:00;1;402
521;2023-07-17 12:00:00;1;722
522;2024-03-24 12:00:00;1;78
523;2021-09-06 12:00:00;1;80
524;2021-07-02 12:00:00;1;476
525;2021-07-13 12:00:00;1;40
526;2021-07-14 12:00:00;1;154
527;2021-07-12 12:00:00;1;291
528;2024-02-11 12:00:00;1;243
529;2023-06-22 12:00:00;1;675
530;2022-06-16 12:00:00;1;108
531;2023-06-23 12:00:00;1;401
532;2023-05-10 12:00:00;1;98
533;2023-12-15 12:00:00;1;738
534;2022-11-20 12:00:00;1;535
535;2023-12-06 12:00:00;1;730
536;2023-06-03 12:00:00;1;730
537;2021-06-21 12:00:00;1;714
538;2021-06-30 12:00:00;1;738
539;2022-07-03 12:00:00;1;298
540;2023-07-16 12:00:00;1;459
541;2023-01-10 12:00:00;1;675
542;2023-08-28 12:00:00;1;764
543;2023-04-27 12:00:00;1;402
544;2024-01-15 12:00:00;1;763
545;2022-01-22 12:00:00;1;477
546;2023-04-26 12:00:00;1;714
547;2022-02-07 12:00:00;1;738
548;2023-04-23 12:00:00;1;730
549;2022-04-22 12:00:00;1;748
550;2021-06-17 12:00:00;1;714
551;2024-01-18 12:00:00;1;6365
552;2021-07-08 12:00:00;1;243
553;2021-11-04 12:00:00;1;57
554;2024-03-26 12:00:00;1;756
555;2023-11-23 12:00:00;1;58
556;2024-03-22 12:00:00;1;1441
557;2023-05-05 12:00:00;1;738
558;2023-10-26 12:00:00;1;377
559;2021-12-01 12:00:00;1;80
560;2021-03-26 12:00:00;1;722
561;2023-06-20 12:00:00;1;1571
562;2021-03-04 12:00:00;1;738
563;2023-06-01 12:00:00;1;402
564;2023-10-19 12:00:00;1;377
565;2022-10-01 12:00:00;1;243
566;2023-03-08 12:00:00;1;722
567;2023-06-02 12:00:00;1;72
568;2021-06-19 12:00:00;1;23
569;2023-03-30 12:00:00;1;89
570;2023-10-08 12:00:00;1;402
571;2023-07-10 12:00:00;1;243
572;2022-05-16 12:00:00;1;377
573;2022-11-13 12:00:00;1;739
574;2023-10-10 12:00:00;1;433
575;2023-06-13 12:00:00;1;1571
576;2022-08-29 12:00:00;1;218
577;2024-02-03 12:00:00;1;675
578;2022-06-21 12:00:00;1;108
579;2022-10-09 12:00:00;1;359
580;2022-07-04 12:00:00;1;23
581;2023-06-19 12:00:00;1;459
582;2022-11-22 12:00:00;1;459
583;2023-05-15 12:00:00;1;714
584;2023-05-23 12:00:00;1;738
585;2023-09-24 12:00:00;1;705
586;2024-01-12 12:00:00;1;402
587;2021-06-16 12:00:00;1;291
588;2023-04-04 12:00:00;1;24
589;2021-07-13 12:00:00;1;235
590;2021-06-23 12:00:00;1;459
591;2024-03-23 12:00:00;1;146
592;2022-03-14 12:00:00;1;738
593;2023-06-26 12:00:00;1;764
594;2023-06-30 12:00:00;1;23
595;2022-05-24 12:00:00;1;700
596;2022-05-06 12:00:00;1;738
597;2024-01-20 12:00:00;1;146
598;2023-10-15 12:00:00;1;840
599;2023-11-20 12:00:00;1;1571
600;2022-11-27 12:00:00;1;401
601;2023-03-24 12:00:00;1;738
602;2023-09-05 12:00:00;1;477
603;2023-07-25 12:00:00;1;359
604;2024-02-28 12:00:00;1;243
605;2021-06-17 12:00:00;1;154
606;2021-11-28 12:00:00;1;243
607;2023-03-29 12:00:00;1;477
608;2023-06-23 12:00:00;1;64
609;2024-03-15 12:00:00;1;739
610;2024-03-15 12:00:00;1;738
611;2022-09-20 12:00:00;1;393
612;2021-07-21 12:00:00;1;218
613;2022-09-14 12:00:00;1;477
614;2022-02-07 12:00:00;1;72
615;2023-11-15 12:00:00;1;477
616;2022-05-31 12:00:00;1;227
617;2023-07-31 12:00:00;1;433
618;2022-02-27 12:00:00;1;218
619;2023-10-15 12:00:00;1;805
620;2024-02-04 12:00:00;1;57
621;2022-03-08 12:00:00;1;6963
622;2023-07-30 12:00:00;1;378
623;2023-07-24 12:00:00;1;459
624;2023-06-23 12:00:00;1;57
625;2023-08-06 12:00:00;1;730
626;2021-06-17 12:00:00;1;402
627;2021-03-26 12:00:00;1;40
628;2023-04-20 12:00:00;1;377
629;2021-09-22 12:00:00;1;298
630;2021-05-08 12:00:00;1;6963
631;2024-03-18 12:00:00;1;805
632;2021-08-10 12:00:00;1;344
633;2022-06-13 12:00:00;1;738
634;2022-02-17 12:00:00;1;50
635;2021-07-05 12:00:00;1;714
636;2023-04-26 12:00:00;1;386
637;2023-04-13 12:00:00;1;386
638;2023-05-20 12:00:00;1;108
639;2023-12-02 12:00:00;1;66
640;2023-11-12 12:00:00;1;748
641;2023-03-06 12:00:00;1;748
642;2022-06-28 12:00:00;1;89
643;2023-09-18 12:00:00;1;932
644;2022-09-12 12:00:00;1;130
645;2022-02-14 12:00:00;1;218
646;2022-06-15 12:00:00;1;298
647;2021-08-09 12:00:00;1;344
648;2021-10-06 12:00:00;1;130
649;2023-04-22 12:00:00;1;72
650;2024-02-26 12:00:00;1;714
651;2022-01-31 12:00:00;1;367
652;2022-10-30 12:00:00;1;459
653;2022-09-15 12:00:00;1;477
654;2021-10-26 12:00:00;1;40
655;2021-07-18 12:00:00;1;72
656;2024-02-22 12:00:00;1;212
657;2023-09-06 12:00:00;1;477
658;2023-01-22 12:00:00;1;393
659;2023-09-11 12:00:00;1;763
660;2024-01-15 12:00:00;1;675
661;2021-07-14 12:00:00;1;58
662;2021-05-08 12:00:00;1;6954
663;2022-05-22 12:00:00;1;459
664;2023-01-24 12:00:00;1;675
665;2021-03-08 12:00:00;1;80
666;2023-04-05 12:00:00;1;738
667;2022-08-15 12:00:00;1;535
668;2024-03-19 12:00:00;1;78
669;2023-04-19 12:00:00;1;377
670;2022-04-13 12:00:00;1;227
671;2021-09-27 12:00:00;1;386
672;2021-11-21 12:00:00;1;476
673;2023-11-20 12:00:00;1;377
674;2023-06-06 12:00:00;1;459
675;2023-12-25 12:00:00;1;402
676;2023-04-04 12:00:00;1;248
677;2021-08-26 12:00:00;1;17
678;2021-07-19 12:00:00;1;235
679;2022-11-28 12:00:00;1;304
680;2024-02-04 12:00:00;1;747
681;2021-07-19 12:00:00;1;242
682;2021-06-15 12:00:00;1;747
683;2024-02-16 12:00:00;1;57
684;2021-08-31 12:00:00;1;476
685;2023-06-25 12:00:00;1;359
686;2023-06-22 12:00:00;1;146
687;2024-02-22 12:00:00;1;785
688;2022-11-20 12:00:00;1;367
689;2022-04-17 12:00:00;1;700
690;2023-07-09 12:00:00;1;377
691;2023-12-26 12:00:00;1;694
692;2023-05-25 12:00:00;1;730
693;2024-01-02 12:00:00;1;377
694;2023-08-21 12:00:00;1;459
695;2021-09-21 12:00:00;1;80
696;2023-07-18 12:00:00;1;72
697;2021-01-25 12:00:00;1;58
698;2021-10-10 12:00:00;1;700
699;2024-01-19 12:00:00;1;700
700;2021-11-21 12:00:00;1;459
701;2023-06-12 12:00:00;1;89
702;2024-01-08 12:00:00;1;80
703;2023-04-02 12:00:00;1;459
704;2021-06-30 12:00:00;1;66
705;2022-08-22 12:00:00;1;40
