id;line_check_id;date_of_origin;carrier;flight_number;start_station;end_station;aircraft_type
481;472;2024-10-10 12:00:00;;;;;
482;473;2023-05-10 12:00:00;;;;;
483;474;2023-04-10 12:00:00;;;;;
484;475;2025-05-10 12:00:00;;;;;
485;476;2023-03-09 12:00:00;;;;;
486;477;2025-01-09 12:00:00;;;;;
487;478;2024-05-04 12:00:00;;;;;
488;479;2023-02-04 12:00:00;;;;;
489;480;2024-10-03 12:00:00;;;;;
490;481;2022-08-11 12:00:00;;;;;
491;482;2023-10-11 12:00:00;;;;;
492;483;2023-11-12 12:00:00;;;;;
493;484;2022-05-06 12:00:00;;;;;
494;485;2023-07-04 12:00:00;;;;;
495;486;2023-02-07 12:00:00;;;;;
496;487;2021-02-08 12:00:00;;;;;
497;488;2024-04-08 12:00:00;;;;;
498;489;2023-08-08 12:00:00;;;;;
499;490;2022-05-06 12:00:00;;;;;
500;491;2022-10-04 12:00:00;;;;;
501;492;2024-04-05 12:00:00;;;;;
502;493;2023-04-11 12:00:00;;;;;
503;494;2024-04-11 12:00:00;;;;;
504;495;2023-10-12 12:00:00;;;;;
505;496;2021-10-08 12:00:00;;;;;
506;497;2022-07-08 12:00:00;;;;;
507;498;2025-05-08 12:00:00;;;;;
508;499;2021-08-07 12:00:00;;;;;
509;500;2022-03-07 12:00:00;;;;;
510;501;2025-07-07 12:00:00;;;;;
511;502;2021-08-12 12:00:00;;;;;
512;503;2022-05-12 12:00:00;;;;;
513;504;2023-06-11 12:00:00;;;;;
514;505;2023-10-09 12:00:00;;;;;
515;506;2025-01-09 12:00:00;;;;;
516;507;2021-04-10 12:00:00;;;;;
517;508;2023-09-09 12:00:00;;;;;
518;509;2024-05-10 12:00:00;;;;;
519;510;2022-09-09 12:00:00;;;;;
520;511;2023-08-09 12:00:00;;;;;
521;512;2024-05-10 12:00:00;;;;;
522;513;2024-06-05 12:00:00;;;;;
523;514;2022-07-10 12:00:00;;;;;
524;515;2022-11-10 12:00:00;;;;;
525;516;2024-03-10 12:00:00;;;;;
526;517;2022-04-06 12:00:00;;;;;
527;518;2023-06-04 12:00:00;;;;;
528;519;2025-01-06 12:00:00;;;;;
529;520;2024-07-05 12:00:00;;;;;
530;521;2023-07-06 12:00:00;;;;;
531;522;2024-08-04 12:00:00;;;;;
532;523;2024-09-04 12:00:00;;;;;
533;524;2023-05-06 12:00:00;;;;;
534;525;2021-08-07 12:00:00;;;;;
535;526;2022-08-05 12:00:00;;;;;
536;527;2025-01-07 12:00:00;;;;;
537;528;2024-01-04 12:00:00;;;;;
538;529;2025-09-04 12:00:00;;;;;
539;530;2025-03-03 12:00:00;;;;;
540;531;2026-06-04 12:00:00;;;;;
541;532;2025-03-03 12:00:00;;;;;
542;533;2024-06-04 12:00:00;;;;;
543;534;2025-11-04 12:00:00;;;;;
544;535;2024-05-05 12:00:00;;;;;
545;536;2025-01-05 12:00:00;;;;;
546;537;2024-07-04 12:00:00;;;;;
547;538;2024-07-04 12:00:00;;;;;
548;539;2025-07-02 12:00:00;;;;;
549;540;2024-10-12 12:00:00;;;;;
550;541;2024-11-12 12:00:00;;;;;
551;542;2025-01-12 12:00:00;;;;;
552;543;2024-03-04 12:00:00;;;;;
553;544;2025-06-04 12:00:00;;;;;
554;545;2025-02-03 12:00:00;;;;;
555;546;2023-11-09 12:00:00;;;;;
556;547;2024-06-09 12:00:00;;;;;
557;548;2024-10-03 12:00:00;;;;;
558;549;2025-02-05 12:00:00;;;;;
559;550;2026-06-04 12:00:00;;;;;
